"participant","Congruency","Word","Colour","Correct","RT"
1,"Incongruent","RED","green",1,0.786997000000156
1,"Incongruent","GREEN","red",1,0.56714219999958
1,"Incongruent","GREEN","red",1,0.467017500000111
1,"Incongruent","GREEN","red",1,0.366465000000062
1,"Incongruent","RED","green",1,0.333605199999511
1,"Incongruent","GREEN","red",1,0.369777799999611
1,"Congruent","GREEN","green",0,0.413957400000072
1,"Incongruent","GREEN","red",1,0.518855600000279
1,"Incongruent","RED","green",1,0.366970299999593
1,"Congruent","RED","red",1,0.397204699999747
1,"Incongruent","RED","green",1,0.550464400000237
1,"Incongruent","GREEN","red",1,0.619034399999691
1,"Congruent","GREEN","green",1,0.31689070000084
1,"Incongruent","GREEN","red",1,0.397237199999836
1,"Incongruent","RED","green",1,0.335825199999817
1,"Incongruent","GREEN","red",1,0.300224300000082
1,"Incongruent","RED","green",1,0.280468199999632
1,"Incongruent","RED","green",1,0.48651609999979
1,"Incongruent","GREEN","red",1,1.03418309999961
1,"Congruent","RED","red",1,0.386415699999816
1,"Congruent","RED","red",1,0.416818099999546
1,"Incongruent","RED","green",1,0.483720399999584
1,"Congruent","GREEN","green",1,0.450337499999478
1,"Incongruent","RED","green",1,0.347120200000063
1,"Incongruent","RED","green",0,0.400322100000267
1,"Incongruent","GREEN","red",1,0.470040199999858
1,"Incongruent","RED","green",1,0.549702799999977
1,"Incongruent","GREEN","red",1,0.556193400000666
1,"Incongruent","GREEN","red",1,0.416997299999821
1,"Incongruent","RED","green",1,0.400307099999736
1,"Incongruent","RED","green",1,0.36388050000005
1,"Congruent","GREEN","green",1,0.350264400000015
1,"Incongruent","GREEN","red",1,0.435411999999815
1,"Incongruent","GREEN","red",1,0.300213500000609
1,"Incongruent","RED","green",1,0.436199099999612
1,"Incongruent","RED","green",1,0.333589900000334
1,"Incongruent","RED","green",1,0.346827200000007
1,"Incongruent","GREEN","red",1,0.400335400000586
1,"Congruent","RED","red",1,0.350298299999849
1,"Incongruent","GREEN","red",1,0.381637099999352
1,"Incongruent","GREEN","red",1,0.502669000000424
1,"Incongruent","GREEN","red",1,0.316941799999768
1,"Incongruent","RED","green",1,0.400333300000057
1,"Incongruent","GREEN","red",1,0.385398599999462
1,"Incongruent","GREEN","red",1,0.383635600000162
1,"Incongruent","GREEN","red",1,0.417003200000181
1,"Incongruent","GREEN","red",1,0.400320300000203
1,"Congruent","GREEN","green",1,0.297085200000765
1,"Incongruent","RED","green",1,0.366974999999911
1,"Congruent","RED","red",1,0.400332599999274
1,"Incongruent","GREEN","red",1,0.413870299999871
1,"Incongruent","GREEN","red",1,0.366947499999696
1,"Incongruent","RED","green",1,0.45037129999946
1,"Incongruent","RED","green",1,0.403160400000161
1,"Incongruent","GREEN","red",1,0.383688299999449
1,"Incongruent","RED","green",1,0.502437600000121
1,"Incongruent","RED","green",1,0.450364399999671
1,"Incongruent","RED","green",1,0.433689299999969
1,"Incongruent","RED","green",1,0.383558300000004
1,"Incongruent","GREEN","red",1,0.317171900000176
1,"Incongruent","GREEN","red",1,0.397085099999458
1,"Incongruent","GREEN","red",1,0.367455700000392
1,"Incongruent","RED","green",1,0.333591499999784
1,"Incongruent","RED","green",1,0.3813897
1,"Incongruent","GREEN","red",1,0.367002300000422
1,"Incongruent","RED","green",1,0.400333300000057
1,"Incongruent","GREEN","red",1,0.333595199999763
1,"Incongruent","RED","green",1,0.50359859999935
1,"Incongruent","RED","green",1,0.485808599999473
1,"Incongruent","GREEN","red",1,0.433686900000794
1,"Congruent","RED","red",1,0.380520099999558
1,"Incongruent","GREEN","red",1,0.48375870000018
1,"Incongruent","RED","green",1,0.48646269999972
1,"Congruent","GREEN","green",1,0.435883199999807
1,"Incongruent","RED","green",1,0.36707800000022
1,"Congruent","GREEN","green",1,0.502516900000046
1,"Congruent","GREEN","green",1,0.417026999999507
1,"Incongruent","RED","green",1,0.485686600000008
1,"Congruent","RED","red",1,0.502571299999545
1,"Congruent","RED","red",1,0.419069000000491
1,"Incongruent","RED","green",1,0.752993699999934
1,"Incongruent","RED","green",1,0.400320199999442
1,"Incongruent","RED","green",1,0.404379899999185
1,"Incongruent","RED","green",1,0.416982699999608
1,"Incongruent","GREEN","red",1,0.33458470000005
1,"Incongruent","GREEN","red",1,0.533780199999455
1,"Incongruent","GREEN","red",1,0.48470399999951
1,"Congruent","GREEN","green",1,0.350279299999784
1,"Incongruent","GREEN","red",1,0.536525900000015
