subj,cond,itemN,trial,rt,error,prevRT,prevERR,prevYES,itemERR,subjERR,ID
1,congruent,1,164,346.4,0,404.5,no,yes,0,2.7,ag
1,congruent,2,211,499.4,0,418.4,no,yes,0,2.7,ag
1,congruent,3,356,455,0,477.8,no,yes,0,2.7,ag
1,congruent,4,142,481.4,0,508.7,no,yes,5,2.7,ag
1,congruent,5,220,417.4,0,425.7,no,no,10,2.7,ag
1,congruent,6,364,629.5,0,436.6,no,yes,0,2.7,ag
1,congruent,7,168,551.2,0,686.3,no,yes,5,2.7,ag
1,congruent,8,206,546.1,0,565.3,no,yes,0,2.7,ag
1,congruent,9,336,386.4,0,627.8,no,yes,10,2.7,ag
1,congruent,10,82,432,0,618.6,no,yes,0,2.7,ag
1,congruent,11,183,432.2,0,570.3,no,yes,5,2.7,ag
1,congruent,12,353,533.9,0,339.9,no,yes,5,2.7,ag
1,congruent,13,178,571.8,0,364.2,no,yes,0,2.7,ag
1,congruent,14,244,428.7,0,448.4,no,no,5,2.7,ag
1,congruent,15,362,435.4,0,,yes,,5,2.7,ag
1,congruent,16,135,450.7,0,565.6,no,yes,5,2.7,ag
1,congruent,17,262,494.6,0,512.9,no,yes,5,2.7,ag
1,congruent,18,301,417.3,0,418.4,no,no,10,2.7,ag
1,congruent,19,129,510.2,0,436.3,no,no,15,2.7,ag
1,congruent,20,209,433.2,0,515.7,no,yes,5,2.7,ag
1,congruent,21,358,467.4,0,323.2,no,yes,5,2.7,ag
1,congruent,22,143,483.8,0,481.4,no,no,10,2.7,ag
1,congruent,23,258,437.2,0,561,no,yes,10,2.7,ag
1,congruent,24,298,458.2,0,404.5,no,yes,10,2.7,ag
1,congruent,25,117,398.5,0,561.6,no,yes,5,2.7,ag
1,congruent,26,192,388.9,0,977.5,no,yes,5,2.7,ag
1,congruent,27,375,409.3,0,673.9,no,yes,10,2.7,ag
1,congruent,28,119,482,0,370.5,no,yes,0,2.7,ag
1,congruent,29,237,522.4,0,487.9,no,yes,0,2.7,ag
1,congruent,30,370,488.8,0,527.8,no,yes,0,2.7,ag
